name,display_name,journal_id,abbrev_flag
東京高等裁判所民事判決時報,東高民時報,JOURNAL-1LEJQY,0
東京高等裁判所（民事）判決時報,東高民時報,JOURNAL-1LEJQY,0
東高民,東高民時報,JOURNAL-1LEJQY,1
東高民時報,東高民時報,JOURNAL-1LEJQY,1
比較法研究,比較,JOURNAL-16S3VG,0
比較,比較,JOURNAL-16S3VG,1
民事主要判例解説,民主解,JOURNAL-L6F1S5,0
民主解,民主解,JOURNAL-L6F1S5,1
民事月報,民月,JOURNAL-5WABUU,0
民月,民月,JOURNAL-5WABUU,1
民事法情報,民情,JOURNAL-697U5Z,0
民情,民情,JOURNAL-697U5Z,1
民事裁判資料,民資,JOURNAL-BN98HI,0
民資,民資,JOURNAL-BN98HI,1
民事訴訟雑誌,民訴雑誌,JOURNAL-FHTWWN,0
民訴,民訴雑誌,JOURNAL-FHTWWN,1
民訴雑誌,民訴雑誌,JOURNAL-FHTWWN,1
民商法雑誌,民商,JOURNAL-TUYFP1,0
民商,民商,JOURNAL-TUYFP1,1
法とコンピュータ,法コン,JOURNAL-EY4MRY,0
法コン,法コン,JOURNAL-EY4MRY,1
法と民主主義,法民,JOURNAL-6B07PR,0
法民,法民,JOURNAL-6B07PR,1
法と精神医療,法精,JOURNAL-8CYLLP,0
法精,法精,JOURNAL-8CYLLP,1
法の科学,法科,JOURNAL-XVYBN3,0
法科,法科,JOURNAL-XVYBN3,1
法令解説資料総覧,法資,JOURNAL-610OZ9,0
法資,法資,JOURNAL-610OZ9,1
