name,display_name,journal_id,abbrev_flag
高等裁判所刑事判決速報集,高刑速報,JOURNAL-YI8GCC,0
高等裁判所刑事裁判速報集,高刑速報,JOURNAL-YI8GCC,0
高刑速,高刑速報,JOURNAL-YI8GCC,1
高刑速報集,高刑速報,JOURNAL-YI8GCC,1
高刑判速,高刑速報,JOURNAL-YI8GCC,1
高刑集判速,高刑速報,JOURNAL-YI8GCC,1
高刑集速報,高刑速報,JOURNAL-YI8GCC,1
高刑裁判速報,高刑速報,JOURNAL-YI8GCC,1
高刑速報,高刑速報,JOURNAL-YI8GCC,1
高検速報,高刑速報,JOURNAL-YI8GCC,1
高検速報集,高刑速報,JOURNAL-YI8GCC,1
高等裁判所民事判例集,高民集,JOURNAL-B5N40H,0
高民,高民集,JOURNAL-B5N40H,1
高民集,高民集,JOURNAL-B5N40H,1
先物取引判例集,先物取引裁判例集,JOURNAL-76R6R4,0
先物取引裁判例集,先物取引裁判例集,JOURNAL-76R6R4,0
消費者法ニュース,法ニュース,JOURNAL-66YAHD,0
法ニュース,法ニュース,JOURNAL-66YAHD,1
文研生命保険判例集,生判,JOURNAL-94N9AD,0
生命保険判例集,生判,JOURNAL-94N9AD,0
生判,生判,JOURNAL-94N9AD,1
自動車保険ジャーナル,自保ジ,JOURNAL-CYBOV7,0
自保ジャーナル,自保ジ,JOURNAL-CYBOV7,0
自保ジ,自保ジ,JOURNAL-CYBOV7,1
自保,自保ジ,JOURNAL-CYBOV7,1
自保ジャ,自保ジ,JOURNAL-CYBOV7,1
証券取引被害判例セレクト,証券取引被害判例セレクト,JOURNAL-Y5388N,0
供託関係先例集,先例集,JOURNAL-I92S6T,0
先例集,先例集,JOURNAL-I92S6T,1
判例不正競業法,判不競,JOURNAL-50EWAC,0
判不競,判不競,JOURNAL-50EWAC,1
消費者のための欠陥住宅判例,欠陥住宅判例,JOURNAL-PTB1AJ,0
欠陥住宅判例,欠陥住宅判例,JOURNAL-PTB1AJ,1
論究ジュリスト,論ジュリ,JOURNAL-UD7WI1,0
論ジュリ,論ジュリ,JOURNAL-UD7WI1,1
法学協会雑誌,法協,JOURNAL-XKOUXM,0
法協,法協,JOURNAL-XKOUXM,1
法学論叢,論叢,JOURNAL-ALIOFS,0
論叢,論叢,JOURNAL-ALIOFS,1
速報判例解説（法学セミナー増刊）,速判解（法セ増刊）,JOURNAL-5GY13Y,0
速判解（法セ増刊）,速判解（法セ増刊）,JOURNAL-5GY13Y,1
新・判例解説Watch（法学セミナー増刊）,新判解Watch,JOURNAL-RUH442,0
新判解Watch,新判解Watch,JOURNAL-RUH442,1
速判解,新判解Watch,JOURNAL-RUH442,1
税務大学校論叢,税大論叢,JOURNAL-BV3R4M,0
税大論叢,税大論叢,JOURNAL-BV3R4M,1
刑事法ジャーナル,刑ジャ,JOURNAL-EAZAZ2,0
刑ジャ,刑ジャ,JOURNAL-EAZAZ2,1
Law&Technology,L&T,JOURNAL-XIE088,0
Law & Technology,L&T,JOURNAL-XIE088,0
L&T,L&T,JOURNAL-XIE088,1
判例民事法,判民,JOURNAL-PGZLZI,0
判民,判民,JOURNAL-PGZLZI,1
総合判例研究叢書,総判研,JOURNAL-MO6E6P,0
総判研,総判研,JOURNAL-MO6E6P,1
商事判例研究,商判研,JOURNAL-DP9076,0
商判研,商判研,JOURNAL-DP9076,1
京都大学商法研究会編『商事法判例研究』,商事法判例研究,JOURNAL-BR7SBI,0
商事法判例研究,商事法判例研究,JOURNAL-BR7SBI,1
現代民事判例研究会編『民事判例』,民事判例,JOURNAL-J0JRX6,0
民事判例,民事判例,JOURNAL-J0JRX6,1
判例コンメンタール,判コメ,JOURNAL-RVMSGE,0
判コメ,判コメ,JOURNAL-RVMSGE,1
生命保険経営,生経,JOURNAL-CL7K0E,0
生経,生経,JOURNAL-CL7K0E,1
保険事例研究会レポート,保険レポ,JOURNAL-M4QD9M,0
保険レポ,保険レポ,JOURNAL-M4QD9M,1
租税関係行政・民事判決集（徴収関係判決）,税資徴収関係判決,JOURNAL-F8FA42,0
租税関係行政・民事判決集,税資徴収関係判決,JOURNAL-F8FA42,0
税資徴収関係判決,税資徴収関係判決,JOURNAL-F8FA42,1
